transaction_id,customer_id,product_id,quantity,price,date,location
2587,598,946,4,9221.24,2021-08-21,"48764 Howard Forge Apt. 421
Vanessaside, VT 79393"
1024,181,176,9,996.77,2020-08-16,"578 Michael Island
New Thomas, VI 68835"
9746,514,34,2,970.58,2021-02-08,"60975 Jessica Squares
East Sallybury, IA 19178"
8443,888,527,8,5653.53,2022-04-23,"8714 Mann Plaza
Lisaside, IL 79561"
2935,607,845,4,667.95,2022-04-30,"96593 White View Apt. 094
Jonesberg, FM 20102"
9362,312,530,2,4196.47,2020-03-01,"848 Melissa Springs Suite 947
Kellerstad, CO 43010"
6368,130,351,8,6939.89,2022-08-09,"30413 Norton Isle Suite 012
North Lisa, SC 70519"
2991,655,164,7,1706.67,2022-07-24,"39916 Mitchell Crescent
New Andrewburgh, VT 16740"
7717,323,170,2,2658.67,2022-01-14,"086 Mary Cliff
North Deborah, MI 57657"
6100,839,924,10,5554.83,2020-10-07,"91634 Strong Mountains Apt. 302
West Alyssa, DE 78723"
5641,170,664,9,8484.05,2021-11-18,"6984 Price Shoals
Erictown, NH 97700"
8035,238,169,6,2119.26,2020-05-02,"423 Bell Heights
Brittanyberg, VT 41172"
8565,935,804,4,8702.86,2021-08-25,"93523 Dana Lane
Johnsonshire, MT 87296"
5587,262,157,1,5705.04,2020-03-13,"2787 Nicole Park
Larrymouth, AR 54913"
1609,669,484,5,117.69,2020-10-19,"206 Stewart Forest
Lake Karenhaven, RI 13317"
3637,98,235,4,5093.06,2020-10-22,"4217 Burton Brooks
Robinville, VI 34119"
4186,97,303,9,5306.95,2020-07-26,"24000 Erin Point Suite 590
Josephmouth, SC 57575"
3662,934,203,7,245.37,2021-08-01,"69402 Joseph Junction
Jennifermouth, WI 81836"
1645,854,524,9,3278.69,2020-02-25,"94568 Kelly Neck
North Kyle, PR 69058"
8274,329,994,4,1156.3,2020-04-20,"6118 Wells Ville Suite 171
Simmonsport, MA 96806"
9136,425,684,7,4495.41,2022-12-03,"PSC 2961, Box 1133
APO AE 50939"
8773,984,894,8,7411.06,2020-01-13,"7936 Micheal Green Apt. 635
North Lynntown, MH 69420"
8948,206,445,8,2707.62,2021-12-02,"76430 Cindy Cove
South Nicholas, ND 20336"
8535,115,69,4,634.55,2020-06-11,"Unit 7296 Box 6875
DPO AA 65859"
6823,17,722,10,445.06,2022-09-13,"930 Thornton Summit
Lisaton, NC 19947"
4109,235,102,1,6045.74,2021-02-03,"9471 Zachary Canyon
East Davidport, AL 59298"
1986,74,223,5,2545.0,2021-05-28,"758 Santana Parkway
New Christopherhaven, WV 79162"
8234,881,873,6,6335.37,2020-04-28,"8967 Lawson Fort
Lake Nicoleburgh, ME 66935"
7932,876,549,1,3184.99,2022-06-04,"4466 Brown Row
East Justin, MP 44282"
5057,645,70,2,103.82,2020-03-27,"USCGC Butler
FPO AA 79401"
62,821,803,8,7435.53,2020-05-06,"6097 Ellis Courts
Osbornetown, AZ 78921"
9588,782,370,7,264.69,2022-08-17,"85367 Nicole Ridge Suite 951
Kristinaberg, PW 51310"
4908,92,737,5,2463.61,2021-04-01,"PSC 1830, Box 6753
APO AA 47235"
5398,34,801,10,4411.81,2022-09-08,"74089 Jerry Trail
Hunterville, FL 56333"
6331,731,292,3,5940.45,2022-05-29,"61162 Lacey Meadows
Johnsonmouth, VA 33607"
2293,616,650,6,6878.03,2020-05-02,"0552 Maria Fort
Chadberg, IL 00924"
1968,879,720,7,6137.68,2020-11-14,"045 Sarah Fort
East Shawn, NJ 45648"
9811,974,995,7,3530.99,2021-02-05,"5744 White Common
New Beverlyburgh, MS 19758"
2589,819,754,1,1398.86,2020-07-13,"332 Watson Shore Apt. 290
Millerland, DC 55581"
6392,892,425,3,6182.58,2021-04-10,"645 John Roads
Danahaven, AR 49840"
7262,837,154,4,20.28,2021-09-26,"3547 Stephanie Underpass Apt. 418
Port Jacqueline, MO 24799"
3035,158,365,1,2323.79,2021-10-17,"5825 Welch Corners
Fischerport, AL 92119"
4499,86,689,6,332.64,2021-11-28,"41489 Roger Terrace
Davisfort, WV 30957"
1204,411,425,7,7053.43,2022-04-24,"014 Aaron Locks Suite 714
Justinborough, PA 11676"
3271,499,96,1,5432.19,2020-02-25,"8518 Pamela Track Apt. 164
Aprilshire, NC 82701"
6321,396,621,2,9601.38,2020-11-22,"864 Ramos Port Apt. 211
Moralesmouth, DC 73850"
2858,850,110,10,2243.82,2022-11-04,"637 Neal Island Suite 074
Lake Tyler, FM 81915"
3909,780,367,9,1963.76,2020-12-01,"0811 Smith Canyon Apt. 904
Jessicabury, FL 99016"
8209,871,270,9,4079.07,2022-06-08,"7562 Fisher Spur
Hernandezberg, NC 41929"
6697,919,948,10,7956.93,2020-07-19,"5667 Blair Underpass
South Shelby, OR 93561"
6979,642,520,9,517.53,2020-03-18,"PSC 0312, Box 5023
APO AP 39498"
7404,187,316,7,435.78,2022-08-09,"6708 Carpenter Overpass Suite 735
Bobbyton, GA 46350"
1377,249,755,1,5575.41,2020-01-07,"16396 Shawn Junction
New Nicolemouth, MD 70742"
3763,830,464,10,4884.26,2021-12-08,"PSC 4080, Box 3513
APO AP 45818"
2843,582,889,5,5558.19,2020-10-18,"448 Scott Key Apt. 048
North Stevenmouth, AR 54518"
5851,87,777,10,8498.99,2022-02-05,"13126 Scott Club
Hansenfurt, AZ 24144"
6093,464,941,2,9465.79,2021-01-22,"5561 Bishop Turnpike
Lake Kenneth, NV 67876"
757,938,938,3,8840.97,2022-07-28,"3019 Gerald Mall Apt. 340
Trevinoville, MS 85068"
1703,625,246,7,5138.33,2021-02-27,"84331 Leonard Fort Suite 749
East Lisa, OH 66672"
1698,545,94,8,6076.96,2021-05-24,"62281 Kathy Tunnel
Hudsonborough, IA 96519"
2076,206,115,10,456.79,2020-07-24,"9927 Christina Burg Suite 774
East Angelaburgh, TN 65342"
9877,551,923,6,7479.68,2022-01-17,"2963 Floyd Lights
East Benjaminbury, MA 58329"
